Date,Value
2022-01-01,54.96714153011233
2022-01-02,51.633946563616014
2022-01-03,62.428453522692244
2022-01-04,73.95694266347294
2022-01-05,58.92849590796529
2022-01-06,61.177991117043085
2022-01-07,81.21636146672282
2022-01-08,74.62260128583699
2022-01-09,63.37577593869213
2022-01-10,74.21206901859199
2022-01-11,64.47388763491503
2022-01-12,64.40601414563903
2022-01-13,71.11473730370022
2022-01-14,48.92673111062439
2022-01-15,49.974325991184585
2022-01-16,60.63924024034672
2022-01-17,55.12724348793785
2022-01-18,67.42831991046559
2022-01-19,54.353276318383685
2022-01-20,48.651280802372405
2022-01-21,77.03263286469372
2022-01-22,60.03851563390447
2022-01-23,63.25433309981368
2022-01-24,49.00656359039655
2022-01-25,58.891064567115656
2022-01-26,66.92793856516393
2022-01-27,56.17630437852273
2022-01-28,73.65957987299487
2022-01-29,66.41234156516789
2022-01-30,72.25643348668791
2022-01-31,72.0785044351857
2022-02-01,99.6303371953481
2022-02-02,83.99292939945211
2022-02-03,76.49773634948654
2022-02-04,98.0950581719303
2022-02-05,80.23116683081733
2022-02-06,96.81001803420652
2022-02-07,77.06652042725214
2022-02-08,84.94536447369232
2022-02-09,101.35947516149176
2022-02-10,107.53255609874988
2022-02-11,102.22228366028575
2022-02-12,99.34292464175566
2022-02-13,97.1507315140732
2022-02-14,84.76528132551302
2022-02-15,91.53311045873338
2022-02-16,93.1729286414782
2022-02-17,107.34483013293017
2022-02-18,99.23260012142926
2022-02-19,77.29817306498443
2022-02-20,97.4873023731483
2022-02-21,89.96808690797643
2022-02-22,86.93517020241832
2022-02-23,100.06540935419491
2022-02-24,104.89282334121583
2022-02-25,104.93502632216843
2022-02-26,88.67347070535891
2022-02-27,95.80334212393907
2022-02-28,104.39097840219968
2022-03-01,113.32203081638765
2022-03-02,101.50830890262108
2022-03-03,107.3520739273166
2022-03-04,101.1518478490755
2022-03-05,103.27638471702902
2022-03-06,126.32179997490663
2022-03-07,134.57263859828606
2022-03-08,122.88608079663389
2022-03-09,135.95519998069975
2022-03-10,131.51464398283437
2022-03-11,123.05083798487911
2022-03-12,134.3209365687402
2022-03-13,146.8855593495216
2022-03-14,131.5470328836345
2022-03-15,147.57852676345848
2022-03-16,105.42812790139516
2022-03-17,139.25833582189796
2022-03-18,131.10868639349493
2022-03-19,126.30588800711824
2022-03-20,129.2095651588171
2022-03-21,107.43243501177861
2022-03-22,124.22884330663383
2022-03-23,129.29237850892684
2022-03-24,140.0438675853541
2022-03-25,119.93352781004874
2022-03-26,117.23735776180729
2022-03-27,120.89825114209779
2022-03-28,136.06777804239533
2022-03-29,131.60410557273514
2022-03-30,124.81075838158534
2022-03-31,137.38993593968698
2022-04-01,135.68775449376014
2022-04-02,147.11500145828305
2022-04-03,133.30224344334468
2022-04-04,140.04639210254751
2022-04-05,142.4272416002118
2022-04-06,134.6815879080136
2022-04-07,155.1098075646947
2022-04-08,157.3803803645775
2022-04-09,157.16601046051017
2022-04-10,156.78358117352482
